2PRACE,Hispanic,API,Black,AIAN,White,name_id,person
0.00040282049085926526,0.4863801136846416,0.007386507013271939,0.010822342376898463,0.000834571897831909,0.49417364453649676,nm1799971,Marta Hazas
0.0004255153179158308,0.005537237882583808,0.004854369164777867,0.007125205522157311,0.0010030442830595084,0.9810546278295057,nm2338819,Eve Ryan
0.0005629450271904926,0.004567108684117763,0.0014703574814245988,0.07202667734619997,0.0016495720406414548,0.9197233394204257,nm5913850,Nicole Wallace
0.0009157287358941688,0.2017735409899401,0.0425697473198409,0.01838448579016901,0.0019303997873754534,0.7344260973767803,nm1293644,Ivan MassaguÃ©
0.000913875494465716,0.8223433485960221,0.004621293973346917,0.000847193321076609,0.0009272349436455382,0.170347053671443,nm1107138,Mariano Venancio
0.0005884413481546981,0.25326043997916714,0.024026091111985698,0.023639729136371922,0.0019600909936491055,0.6965252074306715,nm1533932,Jaime OrdÃ³Ã±ez
0.0,0.7932236309147502,0.002187845226260706,0.0044524275662534,0.0,0.20013609629273563,nm1669154,IvÃ¡n SÃ¡nchez
0.00018391978666621408,0.9574239797944286,0.012631386344365537,0.0007758979522254184,0.000589777264341916,0.02839503885797217,nm10140379,Gabriel Guevara
0.0008972188095474208,0.25539253337447154,0.0861142018349225,0.0313859154623266,0.0039740406499418094,0.6222360898687902,nm10165621,Lucas Nabor
0.001989914546792474,0.2710962515617534,0.052707751434554126,0.01217516459752941,0.00025203312369963607,0.661778884735671,nm9017712,Fran Berenguer
0.00020722705416651314,0.9060090209334131,0.01222192167187463,0.00138899471727707,0.0008078412162069098,0.07936499440706167,nm14730300,Eva Ruiz
0.0009600353514994603,0.555605051587342,0.14784380010915665,0.023440791723153876,0.0041497767783946855,0.2680005444504535,nm10124868,VÃ­ctor Varona
8.542802126402862e-06,0.0975713765646302,0.001881578976283752,0.33673197419083445,2.217549121793367e-05,0.5637843519749073,nm14041266,Adriana Ubani
6.275126445619603e-05,0.9791357726910129,0.0037010297057921376,0.00020262073893687212,0.0003163506876624953,0.016581474912139457,nm8954123,Jonatan Ruiz
0.00042052112760139937,0.006621285737116574,0.001378643011064019,0.0009562360267078333,0.00036955521812141913,0.9902537588793887,nm9109527,Anastasia Russo
0.0008161464472218861,0.23792302754456773,0.02441192674230486,0.04519628193456496,0.002161875129949547,0.6894907422013912,nm3726173,Antonio HernÃ¡ndez
0.0005884413481546981,0.25326043997916714,0.024026091111985698,0.023639729136371922,0.0019600909936491055,0.6965252074306715,nm14896550,Jaime GutiÃ©rrez
0.00035295546960208114,0.7054384593312292,0.013392098010555397,0.0012563422530510121,0.0010649320203318798,0.27849521291523033,nm13829632,Noah Casas
0.0002355721564288043,0.801924367221131,0.010398653778690606,0.004838898198163332,0.0008626204732818564,0.18173988817230438,nm13212279,Pablo Riguero
3.977891517266641e-05,0.9922037423487284,0.001450946919872127,8.970684468440917e-05,0.00016572918526276106,0.006050095786279539,nm13614770,Jose Palacios
0.0007919998613174301,0.7245942362181329,0.08028605448037088,0.006333501843404537,0.0017514932227474032,0.18624271437402695,nm12002097,MÃ³nica Caballero
0.0,0.309916136074632,0.017481967193196737,0.021764147711357693,0.0,0.6508377490208137,nm2115746,RocÃ­o PelÃ¡ez
0.0008786965496818541,0.3515841748071337,0.048509117786946825,0.01533086852807337,0.00219528332092532,0.5815018590072389,nm3436931,Mariano AndrÃ©s
0.00017929579722700614,0.007537285104757691,0.00628006301886479,0.014837766494788756,0.000552187796426422,0.9706134017879353,nm13818646,Kenneth Scheuvront
0.00047452567879791393,0.00458246416401466,0.0017351145109148628,0.009622475047736488,0.0023516546124215804,0.9812337659861146,nm10541807,Shannon Legro
0.00043901130170528744,0.0014406513900276385,0.0006570728751638573,0.046408693887651,0.0018844170507250969,0.9491701534947271,nm7379431,Seth Breedlove
0.00047303221059311003,0.001900943924061112,0.0014495732242886406,0.036790684533771746,0.0017337505833093195,0.957652015523976,nm13818650,Dave Roberts
